name,code,client
Alabama,AL,true
Alaska,AK,true
Arizona,AZ,
Arkansas,AR,true
California,CA,true
Colorado,CO,true
Connecticut,CT,true
Delaware,DE,
Florida,FL,true
Georgia,GA,true
Hawaii,HI,true
Idaho,ID,true
Illinois,IL,true
Indiana,IN,true
Iowa,IA,true
Kansas,KS,true
Kentucky,KY,
Louisiana,LA,true
Maine,ME,true
Maryland,MD,true
Massachusetts,MA,true
Michigan,MI,true
Minnesota,MN,true
Mississippi,MS,true
Missouri,MO,true
Montana,MT,true
Nebraska,NE,true
Nevada,NV,true
New Hampshire,NH,
New Jersey,NJ,true
New Mexico,NM,
New York,NY,true
North Carolina,NC,
North Dakota,ND,true
Ohio,OH,true
Oklahoma,OK,true
Oregon,OR,true
Pennsylvania,PA,true
Rhode Island,RI,true
South Carolina,SC,true
South Dakota,SD,true
Tennessee,TN,true
Texas,TX,true
Utah,UT,true
Vermont,VT,
Virginia,VA,true
Washington,WA,true
West Virginia,WV,
Wisconsin,WI,true
Wyoming,WY,